Название,Категория,Популярность,Длительность,Краткое описание,Полное описание
Яркий драйв,Программы для SPA,73%,1 минута,"
	Экспрессивная смена воды и света в сопровождении искромётной, техничной музыкальной композиции. Тонизирующий массаж и жгучий напор - отличный заряд бодрости на целый день!
","
	Искромётность - удивит вас своей насыщенностью! Вся верхняя вода короткой подачей обрушится на вас при первых двух аккордах, а дождь между ними не даст вам замёрзнуть. Для настроения будет ооочень вкусно пахнуть, а тонуса добавит холодный туман. Далее начинается сумасшедшая ритмическая перекличка боковых форсунок, которые способны отмассировать даже самое крепкое тело! Чем ближе к концу, тем больше сумасшествия. Холодная и горячая вода будут соревноваться на протяжении всей программы. Подумайте, готовы ли вы к такому душу зимой? Хотя, если вы из бани…
"
Step by step,Программы для SPA,72%,5 минут,"Главная суть процедуры - контрастное и тактильное воздействие на сосуды и ступни ног. Всю программу, под активный ритм музыки, вы будете перемещаться вслед за включающимися форсунками, каждая из которых имеет свою температуру воды - тёплую и холодную. Температура воды в каждой форсунке сопровождается соответствующей подсветкой - красной и синей. Помимо этого программа оснащена аромастанцией, наполнение которой можно выбрать из доступных ароматов в каталоге.","Сначала равномерное поочерёдное включение форсунок, с 1-й линии до 8-й. При работе 5-й форсунки добавляется аромат. После этого, дорожка заставляет пользователя двигаться активнее и хаотичнее: включается 3-я линия форсунок, затем 6-я. Оба цикла длиннее предыдущих в два раза. Далее: 7,2,5,8,3,6-я работают в такт музыке, при этом на 5-й вновь подаётся аромат. Затем 1-я вдвое длинней предыдущих. Далее 4 и 6-я равномерными подачами. С 8-й линии поступенно возвращаемся к 1-й, где на 5-й снова подаётся аромат. Программа завершается."
Мятное утро,Программы для SPA,69%,4 минуты,"Бодрое утро - залог успешного и продуктивного дня! Даже если вы встали не с той ноги, эта программа зарядит вас энергией и свежестью, вернет веру в человечество и придаст сил на весь день..","Звучит приятная музыка, освещение мягко переключается всеми цветами радуги, из верхней лейки начинает литься теплая вода, помогая расслабиться. Спустя полминуты из фосунки ""водопад"" также начинает литься вода, верхняя лейка выключена. По мере нарастания музыки подключаются боковые форсунки с горячей водой, которые мягко массируют тело. Потом они выключаются и в дело снова вступает верхняя лейка, освещение по-прежнему переливается всеми доступными цветами. Через некоторое время все потоки воды стихают и звучит только бодрящая мелодия, горит свет. Затем снова включается верхняя лейка и опять все замирает. Из водопада небольшими порциями льется вода. В конце программы гаснет верхнее цветное освещение, потоки воды стихают."
Бэнг-бэнг,Программы для SPA,87%,3 минуты,"В сопровождении немалоизвестной композиции BANG-BANG (рус. Ба-бах), тёплый душ будет лить на вас кратковременными подачами воды, а бодрящий туман позволит вам насладиться ностальгической атмосферой. Боковые форсунки разбавят скучную статику, олицетворяя выстрелы, тем самым подчёркивая смысл песни. С их энергией вы почувствуете прилив горячей крови к вашей коже.","Сначала три кратковременные подачи верхнего душа, затем одна более продолжительная. После этого прохладный туман. Далее боковые форсунки перекликаются между собой в течение 15-ти секунд. Затем последовательность повторяется, но меняется продолжительность работы каждого блока."
Контрастный душ,Программы для SPA,77%,3 минуты,"
	 Страстный танец горячей и холодной воды для любителей острых ощущений. Разгонит не только вашу кровь, но и все грустные мысли и печали. Отлично сочетается со здоровым образом жизни.
","
	 Включается зеленая подсветка, звучит энергичная музыка, попеременно включаются боковые форсунки. Стучат барабаны и из верхней лейки тоже начинает низвергаться вниз вода. Горячая вода сменяет холодную в боковых форсунках, бодря тело и дух. Затем сверху опять льется контрастная горячая вода. Затем вода стихает, давая легкую передышку, после чего опять из боковых форсунок льется холодная вода. Так продолжается несколько раз. После чего сверху опять льется горячая вода, которая смешивается с холодной из боковых форсунок. Программа заканчивается горячим душем из верхней форсунки, затем гаснет свет, стихают водные потоки.
"
Альпийский ручей,Программы для SPA,76%,3 минуты,"
	 Ритмичные звуки будут заставлять вас делать шаги, а контрастная пульсация форсунок и цитрусовый аромат разбудят кровь. Программа насыщена короткими подачами воды, которые тонизируют тело и помогают настроиться на активный темп.
",Если понравившаяся вам душевая программа несовместима с вашим оборудованием - вы можете самостоятельно ее адаптировать благодаря удобному конструктору программ.
Дорога к мечте,Программы для SPA,73%,2 минуты,"
	 Ритмичные звуки будут заставлять вас делать шаги, а контрастная пульсация форсунок и цитрусовый аромат разбудят кровь. Программа насыщена короткими подачами воды, которые тонизируют тело и помогают настроиться на активный темп.
","
	 Первая станция насыщена водой, которая повторяет пульсацию музыки. Умеренный тёплый дождь чередуется с умеренным холодным, включениями длиной чуть более 1-й секунды. Сопровождается такой дуэт пульсацией тёплых боковых форсунок и световых вспышек белого в каждый бит. На второй станции четыре включения форсунок тумана с ароматом «Суматранский апельсин». Освещение сине-голубое. Третья станция начинается с тёплого ливня. Далее, после 48 секунды, подключается тёплый водопад и работает синхронно с хлопками в аудиодорожке. Освещение красно-жёлто-фиолетовое. Тёплая вода отключается, включаются холодные боковые и работают до конца станции. На 1.07 к ним подключается тёплый водопад. Освещение сине-жёлтое. Четвёртая станция пульсирует тёплыми боковыми синхронно с красным светом, далее подключается лёгкий холодный дождь с 1.26 до 1.36, после чего работает как пульсация до завершения станции, а боковые льют равномерно с 1.36 также до конца. Освещение жёлто-зелёное. Пятая станция - туман с ароматом «Ледяное море». Освещение сине-бело-голубое.
"
Танец гроз,Программы для SPA,72%,3 минуты,"
	 Напряжённая атмосфера предстоящей грозы будет сопровождать вас всю программу. Шум дождя, грома и световые эффекты молнии погрузят в реалистичность происходящего. Активная пульсация воды в ритм музыке, смена температур и мятный аромат, зарядят тело экстремальной бодростью и наполнят силами на целый день.
","
	 Плавное включение фиолетового, затем 0.08-0.22, далее 0.26-0.30 - умеренный тёплый дождь. 0.11-0.19 умеренный холодный. 0.15-0.26 тёплые боковые. Освещение плавное: красный, голубой, красный, жёлтый, красный. Плавное выключение красного. На второй станции пульсация тумана (32 включения), длиной четверть секунды, согласно музыке, с ароматом «Полярная ночь». Освещение мигающее белое. Возврат на первую станцию. Такая же пульсация боковых тёплых форсунок (24 включения) с мигающим красным освещением. Возврат на вторую станцию. Туман 6 секунд. Освещение синее, белое. Третья станция - теплый ливень 1.03-1.10 с мигающим белым освещением. Тёплый водопад 1.11-1.18 с мигающим красным освещением. 1.18-1.25 шестнадцать равномерных включений длиной по четверть секунды холодных боковых форсунок с мигающим синим освещением. 1.25-1.33 сплошной ливень и водопад с мигающим жёлтым освещением. Плавное выключение жёлтого. Четвёртая станция - 1.33-2.06 лёгкий холодный дождь. 1.36-2.05 тёплые боковые. 2.06-2.08 четыре включения боковых длиной по четверть секунды. Освещение - эффект молнии (стробоскоп). Пятая станция - туман с ароматом «Полярная ночь». Освещение - синее ровное, затем стробоскоп.
"
Enjoy the Silence,Программы для SPA,88%,3 минуты,"
	 Полетай в облаках. Гармоничное сочетание музыки и света погрузят в атмосферу лёгкости и полёта. Верхний душ расслабит и согреет, а массажные форсунки с освежающим туманом придадут жизненного тонуса. Насладись водной стихией прямо сейчас.
","
	 Вода везде тёплая. Сначала до 0.27 музыка и свет. Плавное выключение: кр, кр, сн, фл, фл, сн, зл, кр. С 0.28 по 0.30 мигание белым + два включения боковых форсунок одновременно. С 0.30 по 0.33,5 работают все боковые форсунки+туман, освещение - сине-красное. С 0.33 по 0.54,5 верхняя лейка, освещение до 0.43 сине-красное, с 0.43 по 0.54 жёлто-фиолетовое. 0.54,5-0.55,5 мигание белым светом. С 0.54,5 по 0.55,5 два открытия боковых форсунок. На второе открытие добавляется туман до 0.56,5. С 0.55,5 до 1.47 включается верхняя лейка, освещение сине-красное до 1.08,5, далее жёлто-фиолетовое до 1.21,5, далее зелёно-жёлтое до 1.34,5, далее сине-красное до 1.47,5. С 1.21 по 1.34,5 добавляется водопад. С 1.47 конфигурация: два включения боковых, затем туман (повторяется 4 раза). 1-й раз - верхние, затем на 1.48 туман, 2-й раз - средние, затем на 1.52 туман, 3-й раз - нижние, затем на 1.55 туман, 4-й раз - все боковые, затем на 1.58 туман до 2.01. Освещение этой конфигурации плавно гаснущие: красный, затем опять красный, затем синий, затем фиолетовый. С 2.01 по 2.26 работает верхняя лейка, освещение сине-красное. С 2.26 до конца освещение красно-жёлто-синее под фоновую музыку.
"
Сказки на ночь,Программы для SPA,73%,4 минуты,"
	Эта программа убаюкает вас после тяжелого дня, окутает спокойными расслабляющими звуками, согреет нежными струями-объятиями. Идеальное завершение вечера.
","
	После включения программы, включается мягкий синий свет, символизируя наступающую ночь. Сверху льется вода, которая смывает все тревоги и усталость, накопившуюся за день. Сверху льется вода, мягко массируя плечи, шею и голову. Через некоторое время верхний душ выключается, вместо них боковые струи горячей водой массируют тело. Опять включается верхняя лейка, которая окутывает в свои горячие объятия. Звучит приятная умиротворяющая музыка. Освещение то мягкое синее, как ночное небо, то белое, как звезды. В конце программы вода льется из верхней лейки, после чего свет, вода и звуки затихают.
"
Город,Звуки природы,86%,3 минуты,"Кафе, джаз… Разве не романтично? Почувствуйте себя в атмосфере живой музыки и ароматного кофе. Приятный тёплый душ с изысканным ароматом позволит вам немного помечтать и получить по-настоящему эстетическое удовольствие.","Ненавязчивая джазовая музыка в сопровождении мультицветного освещения играет с водой сначала и до конца. В начале включится тёплый водопад, после чего его сменит лёгкий душ. После смены вы почувствуете приятный аромат одновременно с прохладным туманом. Смена водопадов повторится дважды, также как и нежный туманный бриз."
Тропический шторм,Звуки природы,77%,3 минуты,"
	 Тёплая, расслабляющая программа. Преимущественно вы будете чувствовать тёплый тропический душ и водопад, которые сопровождаются ароматом. Во второй половине вы почувствуете кратковременный холодный туман, который вновь сменится тёплыми струями воды. В качестве аудиосопровождения-пение птиц. Подсветка мягкая. Длительность - 2 мин. 30 сек.
","
	 Первые 15 секунд - тропический дождь с красной подсветкой. Далее подключаются большой водопад и аромат, подсветка меняется на жёлтую. На 1.30 включается туман и работает 6 секунд. Подсветка переливается с красного цвета на зелёный. На 1.36 снова тропический дождь с ароматом и большой водопад.
"
Дикое побережье,Звуки природы,77%,3 минуты,"
	 Представьте, что вы идёте на яхте, а на расстоянии 30 метров от вас, побережье, где обитают слоны, попугаи и другие экзотические животные. Такой красочный, сочный пейзаж дополняется освещением натуральных тонов, звуками природы, банджо, умеренным прохладным и тёплым дождём с массажными боковыми струями, а затем свежим бризом с тропическим ароматом. Их сменяют тёплые ливень и водопад, перемешиваясь с холодными брызгами океана. Погода стремительно меняется и надо поспешить добраться до марины.
","
	 На первой станции умеренный прохладный дождь, к которому на 9-й секунде подключается тёплый и работает до 0.30. Холодный заканчивается на 0.15, после чего включаются тёплые боковые форсунки и делают четыре коротких равномерных включения. Освещение плавное жёлто-зелёное, которое в конце работы станции выключается фейдером. Вторая станция освещается плавным голубо-синим тоном, после чего включается туман с ароматом «Тропика» и работает с 0.30 до 1.00 На третьей станции тёплые ливень и водопад включаются одновременно, после чего водопад отключается на 1.08, а ливень на 1.18. Холодные боковые форсунки подхватывают на 1.16, далее на 1.22 вновь ливень и водопад. Все три лейки отключаются одновременно на 1.34. Световое сопровождение плавное жёлто-зелёное. На четвёртой станции перекличка холодного лёгкого дождя и тёплых боковых форсунок продолжительностью порядка по 3,5 секунды, после чего, на 3-м включении, боковые продолжают работать, а лёгкий дождь подключается через 3,5 секунды и они работают вместе до конца станции. Освещение фиолетово-жёлтое. Пятая станция заполняется туманом с ароматом «Тропика». Освещение плавное голубо-синее с фейдером в конце.
"
Ниагарский водопад,Звуки природы,76%,3 минуты,"Вы почувствуете массаж боковыми форсунками снизу вверх под звук водопада и пение птиц. Затем, для снятия напряжения в ногах, их окатит холодная вода. Далее массажные форсунки будут включаться в противоположном порядке, а к ним присоединится тропический дождь, гром и молния. Вскоре дождь усилится большим водопадом и две лейки будут работать одновременно со всеми боковыми форсунками. Программа завершается расслабляющим прохладным туманом с сине-зелёным, а затем белым освещением. Длительность 2 мин., 30 сек.","Звуковое сопровождение - шум водопада, пение птиц, гром. Сначала нижние форсунки, затем средние, нижние отключаются, а к средним присоединяются верхние. Такой цикл работает до 0.30 секунд. С 0.30 до 0.40 холодная вода для нижних форсунок. С 0.40 начинается тропический дождь, гром и молния. Боковые форсунки поочерёдно - верх, середина, низ, затем к нижним присоединяются верхние, а к ним средние, таким образом, все три уровня форсунок работают совместно до конца. На 1.10 подключается большой водопад. На 2.00 тропический дождь и водопад отключаются вместе с громом и молнией. Включается туман и работает до конца под сине-зелёное освещение. Завершается программа белым светом с туманом."
Водопад,Звуки природы,73%,3 минуты,"Конечно, вы сначала расслабитесь под тёплым дождём и будете думать, что Питер к вам благосклонен. Но не стоит делать преждевременных выводов. Неожиданно, с берегов Ладоги повеет прохладным туманом, а гром принесёт с собой бодрящую грозу. Конечно, вы вдохнёте запах Северной столицы и будете судорожно бегать в поисках чашки согревающего напитка и батареи. Немного неопределённости в погоду добавят тёплый дождь и струя малого водопада, как бы соревнуясь между собой. Пурпурный закат в конце прогулки сопроводится тёплым дождём, но также, невским ароматным бризом, который смоет с вас остатки печали и украдёт частичку вашего сердца на 2 минуты 30 секунд.",Если понравившаяся вам душевая программа несовместима с вашим оборудованием - вы можете самостоятельно ее адаптировать благодаря удобному конструктору программ.
Лето в Питере,Звуки природы,72%,3 минуты,"Конечно, вы сначала расслабитесь под тёплым дождём и будете думать, что Питер к вам благосклонен. Но не стоит делать преждевременных выводов. Неожиданно, с берегов Ладоги повеет прохладным туманом, а гром принесёт с собой бодрящую грозу. Конечно, вы вдохнёте запах Северной столицы и будете судорожно бегать в поисках чашки согревающего напитка и батареи. Немного неопределённости в погоду добавят тёплый дождь и струя малого водопада, как бы соревнуясь между собой. Пурпурный закат в конце прогулки сопроводится тёплым дождём, но также, невским ароматным бризом, который смоет с вас остатки печали и украдёт частичку вашего сердца на 2 минуты 30 секунд.","Сначала тёплый дождь, затем к нему присоединится большой водопад. Эта лейка будет работать до 0.40 секунд под зелёную подсветку. Боковые форсунки работают и преграждают путь к следующей зоне. На 0.40 начинается гроза, туман и холодный дождь. Форсунка тумана сопровождается ароматом «Полярная ночь». Боковые форсунки работают спереди и сзади, ограничивая пространство. На 1.10 начинается тёплый дождь и работает попеременно с малым водопадом. Подсветка меняется синхронно с водой. Боковые форсунки работают спереди и сзади, ограничивая пространство. На 1.40 начинается тёплый дождь, затем сменяется туманом и им же завершается. В это время аромат «Полярная ночь» и фиолетовая подсветка."
Ночное спокойствие,Звуки природы,69%,2 минуты,"
	 Звук дождя, раскаты грома и волшебные колокольчики настроят на безмятежность и умиротворение. Реалистичные мерцания молнии, помогут погрузиться в атмосферу грозы. Вы почувствуете приятный тёплый дождь, который будет лить на вас из двух леек всю программу. Освежающий туман придаст лёгкость и морозную свежесть вашему телу. Через некоторое время на вас обрушится ливень, после чего вы снова почувствуете лёгкую фактуру мелких частиц воды.
","
	 Основная вода - это лёгкий и умеренный дождь, которые работают одновременно. В первой части программы- 5-секундный туман, затем продолжают работать два вида дождя. В середине подключается ливень и работает 35 секунд. В это же время, в середине цикла ливня будет включение тумана. После окончания ливня, через 7 секунд - туман. Программа завершается лёгким и умеренным дождём. Из подсветки только разноцветные вспышки молний. Звук - шум грозы и медитативные колокольчики.
"
Ливень под пальмами,Звуки природы,83%,5 минут,"Хорошо на природе! Надышишься свежего воздуха, нагуляешься, покушаешь вкусно. А когда стемнеет, заберёшься в палатку, глаза закроешь и слушаешь: птички между собой переговариваются, листва шелестит, дождик тихонько убаюкивает. Закутаешься потеплее и сны смотришь.",Позволяет превратить принятие душа в незабываемый аттракцион. Сходите с ума от удовольствия. Творите и создавайте собственные программы.
Лесные сны,Звуки природы,83%,4 минуты,"Хорошо на природе! Надышишься свежего воздуха, нагуляешься, покушаешь вкусно. А когда стемнеет, заберёшься в палатку, глаза закроешь и слушаешь: птички между собой переговариваются, листва шелестит, дождик тихонько убаюкивает. Закутаешься потеплее и сны смотришь.","Плавно включается синий свет. На фоне пения птиц, бассейн заполнится густым туманом, который позже сменится дождём, а подсветка будет плавно переливаться. Далее релаксирующая музыка будет звучать в дуэте с пением птиц. Программа завершится продолжительным туманом с синей подсветкой."
Онлайн-радио: Бизнес FM (87.5 FM),Звуки природы,83%,15 минут,"Онлайн радио ""Бизнес FM"" на частоте 87.5 FM",Если понравившаяся вам душевая программа несовместима с вашим оборудованием - вы можете самостоятельно ее адаптировать благодаря удобному конструктору программ.
Онлайн-радио: Monte Carlo (без лишних слов),Звуки природы,73%,15 минут,"Онлайн радио ""Monte Carlo"", без лишних слов!",Если понравившаяся вам душевая программа несовместима с вашим оборудованием - вы можете самостоятельно ее адаптировать благодаря удобному конструктору программ.
Весенняя гроза,Звуки природы,75%,3 минуты,"
	 Если вы устали от посторонних звуков и музыки - эта программа для вас. Вы будете слышать только дождь и раскаты грома. Для большего реализма звук грозы подчеркнут световые вспышки молний. Фоновый тёплый дождь будет периодически дополняться водопадом, лёгким тёплым и прохладным дождём, однажды ливнем и регулярно нежным туманом. Ароматические эффекты дополнят картину и вы почувствуете тонкий приятный букет.
","
	 Тёплый душ работает всю программу. Звуковой трек - только шум дождя и раскаты грома. В качестве светового сопровождения - разноцветные вспышки света, имитирующие молнию. Через 12 секунд после начала подключается лёгкий тёплый душ с ароматом. Далее присоединяется водопад, а к нему непродолжительный туман. Потом ливень одновременно с лёгким прохладным дождём. Опять туман. Прохладный дождь отключается, остаётся только ливень. Следующим подключается лёгкий тёплый дождь с ароматом. Снова короткий туман. Далее водопад, лёгкий тёплый дождь с эпизодом тумана. Программа завершается тёплым душем.
"
Девятый вал,Звуки природы,73%,2 минуты,"
	 Эта программа пропитана духом приключений и опасностей. Бросьте вызов стихии и попробуйте переплыть океан, когда вся его мощь и сила направлена против вас.
","
	 После выбора программы слышны раскаты грома, идёт сильный дождь из верхней лейки и форсунки ""водопад"". Светодиодные лампочки, как самая настоящая молния, сверкает то белым, то синим светом. Периодически включаются форсунки с прохладным туманом. Наконец, спустя 2 минуты, гроза стихает, выключается подача воды, стихают все звуки.
"
Яркий драйв,Звуки природы,73%,1 минута,"
	Экспрессивная смена воды и света в сопровождении искромётной, техничной музыкальной композиции. Тонизирующий массаж и жгучий напор - отличный заряд бодрости на целый день!
","
	Искромётность - удивит вас своей насыщенностью! Вся верхняя вода короткой подачей обрушится на вас при первых двух аккордах, а дождь между ними не даст вам замёрзнуть. Для настроения будет ооочень вкусно пахнуть, а тонуса добавит холодный туман. Далее начинается сумасшедшая ритмическая перекличка боковых форсунок, которые способны отмассировать даже самое крепкое тело! Чем ближе к концу, тем больше сумасшествия. Холодная и горячая вода будут соревноваться на протяжении всей программы. Подумайте, готовы ли вы к такому душу зимой? Хотя, если вы из бани…
"
Step by step,Звуки природы,72%,5 минут,"Главная суть процедуры - контрастное и тактильное воздействие на сосуды и ступни ног. Всю программу, под активный ритм музыки, вы будете перемещаться вслед за включающимися форсунками, каждая из которых имеет свою температуру воды - тёплую и холодную. Температура воды в каждой форсунке сопровождается соответствующей подсветкой - красной и синей. Помимо этого программа оснащена аромастанцией, наполнение которой можно выбрать из доступных ароматов в каталоге.","Сначала равномерное поочерёдное включение форсунок, с 1-й линии до 8-й. При работе 5-й форсунки добавляется аромат. После этого, дорожка заставляет пользователя двигаться активнее и хаотичнее: включается 3-я линия форсунок, затем 6-я. Оба цикла длиннее предыдущих в два раза. Далее: 7,2,5,8,3,6-я работают в такт музыке, при этом на 5-й вновь подаётся аромат. Затем 1-я вдвое длинней предыдущих. Далее 4 и 6-я равномерными подачами. С 8-й линии поступенно возвращаемся к 1-й, где на 5-й снова подаётся аромат. Программа завершается."
Мятное утро,Звуки природы,69%,4 минуты,"Бодрое утро - залог успешного и продуктивного дня! Даже если вы встали не с той ноги, эта программа зарядит вас энергией и свежестью, вернет веру в человечество и придаст сил на весь день..","Звучит приятная музыка, освещение мягко переключается всеми цветами радуги, из верхней лейки начинает литься теплая вода, помогая расслабиться. Спустя полминуты из фосунки ""водопад"" также начинает литься вода, верхняя лейка выключена. По мере нарастания музыки подключаются боковые форсунки с горячей водой, которые мягко массируют тело. Потом они выключаются и в дело снова вступает верхняя лейка, освещение по-прежнему переливается всеми доступными цветами. Через некоторое время все потоки воды стихают и звучит только бодрящая мелодия, горит свет. Затем снова включается верхняя лейка и опять все замирает. Из водопада небольшими порциями льется вода. В конце программы гаснет верхнее цветное освещение, потоки воды стихают."
Бэнг-бэнг,Звуки природы,87%,3 минуты,"В сопровождении немалоизвестной композиции BANG-BANG (рус. Ба-бах), тёплый душ будет лить на вас кратковременными подачами воды, а бодрящий туман позволит вам насладиться ностальгической атмосферой. Боковые форсунки разбавят скучную статику, олицетворяя выстрелы, тем самым подчёркивая смысл песни. С их энергией вы почувствуете прилив горячей крови к вашей коже.","Сначала три кратковременные подачи верхнего душа, затем одна более продолжительная. После этого прохладный туман. Далее боковые форсунки перекликаются между собой в течение 15-ти секунд. Затем последовательность повторяется, но меняется продолжительность работы каждого блока."
Контрастный душ,Звуки природы,77%,3 минуты,"
	 Страстный танец горячей и холодной воды для любителей острых ощущений. Разгонит не только вашу кровь, но и все грустные мысли и печали. Отлично сочетается со здоровым образом жизни.
","
	 Включается зеленая подсветка, звучит энергичная музыка, попеременно включаются боковые форсунки. Стучат барабаны и из верхней лейки тоже начинает низвергаться вниз вода. Горячая вода сменяет холодную в боковых форсунках, бодря тело и дух. Затем сверху опять льется контрастная горячая вода. Затем вода стихает, давая легкую передышку, после чего опять из боковых форсунок льется холодная вода. Так продолжается несколько раз. После чего сверху опять льется горячая вода, которая смешивается с холодной из боковых форсунок. Программа заканчивается горячим душем из верхней форсунки, затем гаснет свет, стихают водные потоки.
"
Альпийский ручей,Звуки природы,76%,3 минуты,"
	 Ритмичные звуки будут заставлять вас делать шаги, а контрастная пульсация форсунок и цитрусовый аромат разбудят кровь. Программа насыщена короткими подачами воды, которые тонизируют тело и помогают настроиться на активный темп.
",Если понравившаяся вам душевая программа несовместима с вашим оборудованием - вы можете самостоятельно ее адаптировать благодаря удобному конструктору программ.
